"Perimetro (m)";"Codigo de distrito";"Nombre de distrito";"Nombre acentuado del distrito";"Numero de barrios";"Superficie (Ha)"
"010304";"01";"CENTRO              ";"CENTRO              ";"006";"005231264"
"012834";"02";"ARGANZUELA          ";"ARGANZUELA          ";"007";"006466400"
"009523";"03";"RETIRO              ";"RETIRO              ";"006";"005465307"
"010862";"04";"SALAMANCA           ";"SALAMANCA           ";"006";"005387243"
"013401";"05";"CHAMARTIN           ";"CHAMARTÍN           ";"006";"009170122"
"009925";"06";"TETUAN              ";"TETUÁN              ";"006";"005388121"
"009020";"07";"CHAMBERI            ";"CHAMBERÍ            ";"006";"004674105"
"094525";"08";"FUENCARRAL-EL PARDO ";"FUENCARRAL-EL PARDO ";"008";"237810357"
"041015";"09";"MONCLOA-ARAVACA     ";"MONCLOA-ARAVACA     ";"007";"046531134"
"028169";"10";"LATINA              ";"LATINA              ";"007";"025417269"
"018083";"11";"CARABANCHEL         ";"CARABANCHEL         ";"007";"014048399"
"011860";"12";"USERA               ";"USERA               ";"007";"007755083"
"017293";"13";"PUENTE DE VALLECAS  ";"PUENTE DE VALLECAS  ";"006";"015005833"
"010824";"14";"MORATALAZ           ";"MORATALAZ           ";"006";"006110071"
"021524";"15";"CIUDAD LINEAL       ";"CIUDAD LINEAL       ";"009";"011425706"
"026944";"16";"HORTALEZA           ";"HORTALEZA           ";"006";"027414593"
"018390";"17";"VILLAVERDE          ";"VILLAVERDE          ";"005";"020176220"
"033553";"18";"VILLA DE VALLECAS   ";"VILLA DE VALLECAS   ";"002";"051417806"
"034157";"19";"VICALVARO           ";"VICÁLVARO           ";"002";"035193627"
"026698";"20";"SAN BLAS-CANILLEJAS ";"SAN BLAS-CANILLEJAS ";"008";"022370042"
"028708";"21";"BARAJAS             ";"BARAJAS             ";"005";"041908185"
