fare_id,route_id
1,10143
1,1002
1,1003
1,1005
1,1055
1,1006
1,1071
1,1072
1,1108
1,1109
1,1110
1,1900
1,1901
1,1010
1,1012
1,10150
1,10151
1,10152
1,10153
1,10154
1,10155
1,10156
1,10157
1,10158
1,10159
1,1028
1,1029
1,10161
1,1030
1,1045
1,10163
1,10164
1,10165
1,10166
1,10167
1,10168
1,10169
1,10170
1,10171
1,10172
1,10173
1,10174
1,10175
1,10176
1,10177
1,10178
2,1059
2,1060
2,10180
1,10181
1,10182
1,10183
1,1080
1,1081
1,1082
1,10185
1,10186
1,10187
1,10188
1,1094
1,1093
1,1102
1,1103
1,1104
1,1105
1,1106
1,1197
1,1199
1,1198
1,1196
1,1033
1,1034
1,1031
1,1032
1,1038
1,1039
1,10200
1,1115
1,1114
1,10202
1,10203
1,10288
1,10322
