Biblioteca;Sucursal;Descripción
BPM   ;BC    ;BPM Otros
BPM   ;BCDIN ;BPM Buenavista
BPM   ;BCDIS ;BPM Ciudad Lineal
BPM   ;BCDIG ;BPM Gloria Fuertes
BHM   ;BHM   ;Biblioteca Histórica
HM    ;HM    ;Hemeroteca
BMM   ;BMM   ;Biblioteca Víctor Espinós (Musical)
BPM   ;BCDII ;BPM Orcasur
BPM   ;BCDIT ;BPM María Zambrano
BPM   ;BPM   ;Bibliotecas Públicas Municipales de Madrid
MM    ;MM    ;Museo de Historia
BPM   ;BCDICL;BPM Club de Lectura
BPM   ;BCDI5 ;BPM Eugenio Trías
BPM   ;BCDI6 ;BPM Biblioteca 6
BPM   ;BCDI7 ;BPM Biblioteca 7
BPM   ;BCDID6;BPM Despachos
BPM   ;BCDIK ;BPM Aluche
BPM   ;BCDIC ;BPM Canillejas
BPM   ;BCDIX ;BPM Conde Duque
BPM   ;BCDIF ;BPM Chamartín
BPM   ;BCDIZ ;BPM Dámaso Alonso
BPM   ;BCDIP ;BPM Francisco Ayala
BPM   ;BCDIA ;BPM Huerta de la Salud
BPM   ;BCDID ;BPM Islas Filipinas
BPM   ;BCDIB ;BPM Ana Mª Matute
BPM   ;BCDIM ;BPM La Chata
BPM   ;BCDIR ;BPM José Saramago
BPM   ;BCDIH ;BPM Miguel Delibes
BPM   ;BCDIU ;BPM Pío Baroja
BPM   ;BCDIQ ;BPM Pozo Tío Raimundo
BPM   ;BCDIY ;BPM Gerardo Diego
BPM   ;BCDIE ;BPM Vicálvaro
BPM   ;BCDI8 ;BPM Biblioteca 8
BPM   ;BCDI3 ;BPM Ángel González
BPM   ;BCDI4 ;BPM Ivan de Vargas
BPME  ;BRED  ;Bibliored
BPM   ;BCRELI;BPM Recursos en Línea
IMP   ;IMP   ;Imprenta Municipal
ARV   ;ARV   ;Archivo de Villa
BPM   ;BCDIL ;BPM Pablo Neruda
BPM   ;BCDIJ ;BPM Portazgo
BPM   ;BCDIO ;BPM San Blas
BPM   ;BCDIV ;BPM Vallecas
BPM   ;BCDI2 ;BPM Vázquez Montalbán
BPME  ;BMETRO;Bibliometro
BTM   ;BTM   ;Biblioteca Técnica
BPM   ;BCDIW ;BPM José Hierro
BPM   ;BCDEPO;BPM Depósito General BB.PP.
